iter	Passed	Remaining
0	1	173
1	3	158
2	4	152
3	6	147
4	7	144
5	9	142
6	10	145
7	12	146
8	14	144
9	15	141
10	17	138
11	18	135
12	19	133
13	21	132
14	22	130
15	24	128
16	26	127
17	27	126
18	29	124
19	30	122
20	31	119
21	33	118
22	34	116
23	36	114
24	37	112
25	39	111
26	40	110
27	42	109
28	43	107
29	45	105
30	46	104
31	48	102
32	49	101
33	51	99
34	52	97
35	54	96
36	55	94
37	56	92
38	58	91
39	60	90
40	61	88
41	63	87
42	64	85
43	66	84
44	67	82
45	69	81
46	70	79
47	72	78
48	73	76
49	75	75
50	77	74
51	78	72
52	80	70
53	80	68
54	82	67
55	83	65
56	85	64
57	86	62
58	88	61
59	90	60
60	91	58
61	93	57
62	95	56
63	96	54
64	98	52
65	99	51
66	101	50
67	103	48
68	104	46
69	105	45
70	107	43
71	108	42
72	110	40
73	111	39
74	113	37
75	114	36
76	116	34
77	118	33
78	120	31
79	121	30
80	123	28
81	125	27
82	126	25
83	127	24
84	128	22
85	130	21
86	132	19
87	133	18
88	135	16
89	136	15
90	138	13
91	139	12
92	141	10
93	142	9
94	144	7
95	145	6
96	147	4
97	148	3
98	150	1
99	151	0
