iter	Passed	Remaining
0	186	186284
1	189	94688
2	193	64226
3	197	49137
4	199	39676
5	201	33336
6	202	28771
7	204	25388
8	206	22697
9	207	20581
10	209	18876
11	211	17454
12	213	16194
13	214	15111
14	215	14171
15	217	13355
16	218	12629
17	219	11978
18	220	11397
19	222	10905
20	224	10469
21	226	10070
22	227	9683
23	229	9340
24	231	9032
25	233	8737
26	234	8466
27	236	8220
28	239	8003
29	241	7802
30	243	7600
31	245	7415
32	247	7242
33	249	7082
34	251	6931
35	253	6795
36	256	6673
37	258	6533
38	259	6397
39	261	6274
40	262	6150
41	264	6031
42	265	5916
43	268	5835
44	271	5754
45	272	5659
46	274	5566
47	276	5479
48	278	5398
49	279	5314
50	281	5235
51	283	5171
52	285	5104
53	287	5034
54	288	4963
55	290	4899
56	292	4836
57	293	4772
58	295	4710
59	296	4650
60	299	4606
61	301	4555
62	302	4500
63	304	4447
64	305	4399
65	307	4351
66	309	4306
67	310	4260
68	313	4232
69	315	4189
70	316	4143
71	318	4099
72	319	4057
73	320	4014
74	322	3974
75	323	3936
76	325	3900
77	326	3864
78	329	3838
79	331	3807
80	332	3774
81	334	3743
82	335	3707
83	337	3681
84	339	3652
85	340	3621
86	343	3599
87	345	3578
88	347	3554
89	349	3529
90	350	3503
91	352	3478
92	354	3457
93	357	3442
94	359	3424
95	361	3404
96	363	3383
97	365	3362
98	367	3348
99	369	3328
100	373	3327
101	376	3318
102	379	3300
103	381	3285
104	383	3268
105	385	3248
106	387	3231
107	390	3226
108	393	3214
109	395	3199
110	397	3186
111	399	3170
112	401	3153
113	404	3143
114	408	3142
115	410	3126
116	411	3106
117	413	3088
118	414	3071
119	416	3057
120	420	3052
121	422	3039
122	424	3025
123	426	3016
124	428	3002
125	430	2988
126	432	2973
127	435	2968
128	438	2958
129	440	2945
130	442	2933
131	444	2921
132	446	2911
133	449	2907
134	452	2898
135	454	2889
136	456	2878
137	459	2868
138	461	2856
139	464	2854
140	467	2848
141	468	2832
142	470	2820
143	472	2810
144	474	2800
145	476	2789
146	479	2782
147	482	2776
148	484	2764
149	485	2752
